case_id,split,equation_name,transform,n_params,optimizer,time_s,final_mse,final_nmse,converged,n_feval,timed_out
BPG14_T2a,bpg,BPG14,T2a,7,L-BFGS-B,0.468,3.542820e+00,1.122042e+00,False,968,False
BPG14_T2a,bpg,BPG14,T2a,7,least_squares,71.653,6.177877e-04,1.956588e-04,False,14224,False
BPG14_T2b,bpg,BPG14,T2b,7,CMA-ES,2.743,3.163553e+00,1.001925e+00,False,6980,False
BPG14_T2b,bpg,BPG14,T2b,7,DE,72.07,3.105127e+00,9.834210e-01,False,210426,False
BPG14_T2b,bpg,BPG14,T2b,7,Hybrid,1.058,1.283369e-13,4.064541e-14,True,1,False
BPG14_T2b,bpg,BPG14,T2b,7,L-BFGS-B,0.13,3.363459e+00,1.065237e+00,False,392,False
BPG14_T2b,bpg,BPG14,T2b,7,least_squares,0.015,1.000000e+20,3.167088e+19,False,4,False
BPG14_T4a,bpg,BPG14,T4a,10,CMA-ES,13.684,1.024881e-04,3.245888e-05,False,46660,False
BPG14_T4a,bpg,BPG14,T4a,10,DE,84.099,1.348556e-04,4.270996e-05,False,301609,False
BPG14_T4a,bpg,BPG14,T4a,10,Hybrid,3.212,1.281178e-13,4.057603e-14,True,5285,False
BPG14_T4a,bpg,BPG14,T4a,10,L-BFGS-B,0.353,2.428430e-02,7.691050e-03,False,2145,False
BPG14_T4a,bpg,BPG14,T4a,10,least_squares,34.921,2.276765e-03,7.210715e-04,False,10004,False
BPG14_T4b,bpg,BPG14,T4b,10,CMA-ES,19.032,2.234852e-05,7.077972e-06,False,60000,False
BPG14_T4b,bpg,BPG14,T4b,10,DE,83.866,1.000487e-04,3.168632e-05,False,301004,False
BPG14_T4b,bpg,BPG14,T4b,10,Hybrid,4.718,1.281368e-13,4.058205e-14,True,5590,False
BPG14_T4b,bpg,BPG14,T4b,10,L-BFGS-B,1.509,8.001023e-03,2.533994e-03,False,5302,False
BPG14_T4b,bpg,BPG14,T4b,10,least_squares,66.851,3.657498e-04,1.158362e-04,False,20105,False
BPG15_T0,bpg,BPG15,T0,4,CMA-ES,3.242,2.252184e+01,4.364790e-01,False,11980,False
BPG15_T0,bpg,BPG15,T0,4,DE,2.738,2.252184e+01,4.364790e-01,False,12685,False
BPG15_T0,bpg,BPG15,T0,4,Hybrid,0.784,1.098624e-12,2.129161e-14,True,1315,False
BPG15_T0,bpg,BPG15,T0,4,L-BFGS-B,0.29,2.252184e+01,4.364790e-01,False,1240,False
BPG15_T0,bpg,BPG15,T0,4,least_squares,0.441,6.567389e-03,1.272776e-04,False,250,False
BPG15_T1a,bpg,BPG15,T1a,7,CMA-ES,20.947,4.501929e-01,8.724851e-03,False,60000,False
BPG15_T1a,bpg,BPG15,T1a,7,DE,61.428,4.278356e-01,8.291561e-03,False,190642,False
BPG15_T1a,bpg,BPG15,T1a,7,Hybrid,23.624,1.098382e-12,2.128691e-14,True,45201,False
BPG15_T1a,bpg,BPG15,T1a,7,L-BFGS-B,1.991,9.438449e-06,1.829195e-07,False,5000,False
BPG15_T1a,bpg,BPG15,T1a,7,least_squares,1.678,1.098454e-12,2.128831e-14,True,530,False
BPG15_T1b,bpg,BPG15,T1b,7,CMA-ES,18.651,1.671650e-01,3.239699e-03,False,43300,False
BPG15_T1b,bpg,BPG15,T1b,7,DE,30.015,1.055763e+00,2.046095e-02,False,100502,False
BPG15_T1b,bpg,BPG15,T1b,7,Hybrid,6.19,1.098512e-12,2.128944e-14,True,9678,False
BPG15_T1b,bpg,BPG15,T1b,7,L-BFGS-B,0.95,2.254368e+01,4.369021e-01,False,3096,False
BPG15_T1b,bpg,BPG15,T1b,7,least_squares,4.043,2.252959e-04,4.366291e-06,False,1071,False
BPG15_T2a,bpg,BPG15,T2a,5,CMA-ES,9.94,1.116719e+01,2.164229e-01,False,30140,False
BPG15_T2a,bpg,BPG15,T2a,5,DE,14.944,8.499138e-02,1.647154e-03,False,50704,False
BPG15_T2a,bpg,BPG15,T2a,5,Hybrid,28.992,1.098474e-12,2.128871e-14,True,56444,False
BPG15_T2a,bpg,BPG15,T2a,5,L-BFGS-B,0.207,4.191802e+01,8.123817e-01,False,810,False
BPG15_T2a,bpg,BPG15,T2a,5,least_squares,0.294,8.499138e-02,1.647154e-03,False,182,False
BPG15_T2b,bpg,BPG15,T2b,5,CMA-ES,15.541,6.541030e+00,1.267668e-01,False,43320,False
BPG15_T2b,bpg,BPG15,T2b,5,DE,15.046,1.762796e-01,3.416343e-03,False,40460,False
BPG15_T2b,bpg,BPG15,T2b,5,Hybrid,0.544,1.098624e-12,2.129161e-14,True,1,False
BPG15_T2b,bpg,BPG15,T2b,5,L-BFGS-B,0.099,1.538556e+02,2.981760e+00,False,270,False
BPG15_T2b,bpg,BPG15,T2b,5,least_squares,0.012,1.000000e+20,1.938025e+18,False,5,False
BPG15_T4a,bpg,BPG15,T4a,8,CMA-ES,9.174,2.562291e-01,4.965783e-03,False,44900,False
BPG15_T4a,bpg,BPG15,T4a,8,DE,55.556,2.996134e-01,5.806583e-03,False,223065,False
BPG15_T4a,bpg,BPG15,T4a,8,Hybrid,7.312,1.098449e-12,2.128821e-14,True,10477,False
BPG15_T4a,bpg,BPG15,T4a,8,L-BFGS-B,1.694,2.996132e-01,5.806579e-03,False,9081,False
BPG15_T4a,bpg,BPG15,T4a,8,least_squares,0.417,1.098457e-12,2.128838e-14,True,219,False
BPG15_T4b,bpg,BPG15,T4b,8,CMA-ES,20.659,1.458333e+00,2.826285e-02,False,58740,False
BPG15_T4b,bpg,BPG15,T4b,8,DE,66.16,9.952246e-04,1.928770e-05,False,240969,False
