case_id,split,equation_name,transform,n_params,optimizer,time_s,final_mse,final_nmse,converged,n_feval,timed_out
BPG4_T1b,bpg,BPG4,T1b,9,least_squares,46.443,7.638258e-05,1.096441e-05,False,11225,False
BPG5_T1a,bpg,BPG5,T1a,9,CMA-ES,3.758,2.145018e-09,8.218979e-11,True,7040,False
BPG5_T1a,bpg,BPG5,T1a,9,DE,36.482,4.751070e-12,1.820449e-13,True,90270,False
BPG5_T1a,bpg,BPG5,T1a,9,Hybrid,6.538,4.749734e-12,1.819936e-13,True,11186,False
BPG5_T1a,bpg,BPG5,T1a,9,L-BFGS-B,1.507,4.712396e-06,1.805630e-07,False,2760,False
BPG5_T1a,bpg,BPG5,T1a,9,least_squares,0.902,3.756152e-10,1.439230e-11,True,82,False
BPG5_T1b,bpg,BPG5,T1b,9,CMA-ES,2.501,2.231281e-09,8.549511e-11,True,6020,False
BPG5_T1b,bpg,BPG5,T1b,9,DE,35.81,4.841668e-12,1.855163e-13,True,90270,False
BPG5_T1b,bpg,BPG5,T1b,9,Hybrid,36.916,4.742729e-12,1.817252e-13,True,63845,False
BPG5_T1b,bpg,BPG5,T1b,9,L-BFGS-B,0.864,3.781093e-04,1.448786e-05,False,3350,False
BPG5_T1b,bpg,BPG5,T1b,9,least_squares,0.329,4.745991e-12,1.818502e-13,True,91,False
BPG6_T1a,bpg,BPG6,T1a,7,CMA-ES,20.186,1.884350e-07,2.881073e-06,False,60000,False
BPG6_T1a,bpg,BPG6,T1a,7,DE,67.756,6.110237e-07,9.342232e-06,False,210274,False
BPG6_T1a,bpg,BPG6,T1a,7,Hybrid,5.233,8.157996e-17,1.247315e-15,True,6066,False
BPG6_T1a,bpg,BPG6,T1a,7,L-BFGS-B,1.365,1.869362e-06,2.858157e-05,False,2040,False
BPG6_T1a,bpg,BPG6,T1a,7,least_squares,0.786,8.115194e-17,1.240771e-15,True,68,False
BPG6_T1b,bpg,BPG6,T1b,7,CMA-ES,23.136,2.170089e-07,3.317952e-06,False,60000,False
BPG6_T1b,bpg,BPG6,T1b,7,DE,75.221,2.803026e-07,4.285681e-06,False,203950,False
BPG6_T1b,bpg,BPG6,T1b,7,Hybrid,21.487,8.156660e-17,1.247111e-15,True,37088,False
BPG6_T1b,bpg,BPG6,T1b,7,L-BFGS-B,0.41,6.178109e-07,9.446005e-06,False,1728,False
BPG6_T1b,bpg,BPG6,T1b,7,least_squares,0.16,8.026494e-17,1.227209e-15,True,59,False
BPG7_T1a,bpg,BPG7,T1a,8,CMA-ES,9.605,5.457868e-11,8.245599e-11,True,18220,False
BPG7_T1a,bpg,BPG7,T1a,8,DE,98.139,3.529060e-08,5.331609e-08,False,240393,False
BPG7_T1a,bpg,BPG7,T1a,8,Hybrid,4.379,2.499257e-13,3.775811e-13,True,4100,False
BPG7_T1a,bpg,BPG7,T1a,8,L-BFGS-B,2.134,1.069292e-04,1.615458e-04,False,3321,False
BPG7_T1a,bpg,BPG7,T1a,8,least_squares,1.035,2.498860e-13,3.775210e-13,True,98,False
BPG7_T1b,bpg,BPG7,T1b,8,CMA-ES,30.366,9.459648e-08,1.429138e-07,False,60000,False
BPG7_T1b,bpg,BPG7,T1b,8,DE,96.167,3.985376e-11,6.020999e-11,True,240582,False
BPG7_T1b,bpg,BPG7,T1b,8,Hybrid,24.088,2.498363e-13,3.774460e-13,True,34161,False
